Region,Destination Country,lat,lon
"58300, PELLA GREECE, ΚΡΥΑ ΒΡΥΣΗ",GREECE,40.4115299,22.669966
"40200, LARISSA, ΕΛΑΣΣΟΝΑ",GREECE,39.9358328,22.1615558
"16232, ATTIKI, ΒΥΡΩΝΑΣ",GREECE,37.958019,23.7526547
"54629, THESSALONIKI, ΘΕΣΣΑΛΟΝΙΚΗ",GREECE,40.6266729,22.9497965
"19441, ATTIKI, ΚΟΡΩΠΙ",GREECE,37.891039,23.8822467
"63088, HALKIDIKI, ΝΙΚΗΤΗ",GREECE,40.2231874,23.6687585
"84703, CYCLADES, ΕΜΠΟΡΕΙΟΝ",GREECE,36.3503536,25.4544269
"71306, HERAKLION CRETE, ΗΡΑΚΛΕΙΟ",GREECE,35.3392489,25.1368286
"30019, AITOLOAKARNANIAS, ΜΥΤΙΚΑΣ",GREECE,38.6685281,20.9438144
"85105, DODECANESE GREECE, ΚΑΛΥΘΙΕΣ",GREECE,36.3370615,28.1953503
"69132, RODOPI GREECE, ΚΟΜΟΤΗΝΗ",GREECE,41.1180437,25.3998752
"61200, KILKIS, ΠΟΛΥΚΑΣΤΡΟ",GREECE,40.9909298,22.5977598
"10441, ATTIKI, ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ",GREECE,37.9880711,23.7134289
"82100, CHIOS, ΧΙΟΣ",GREECE,38.3483787,26.1259056
"40011, LARISSA, ΦΑΛΑΝΗ",GREECE,39.7207091,22.3971905
"52050, KASTORIA, ΜΕΣΟΠΟΤΑΜΙΑ",GREECE,40.5051432,21.1574722
"14123, ATTIKI, ΗΡΑΚΛΕΙΟ - ATTIKI",GREECE,38.0582347,23.7713365
DURRES,ALBANIA ,41.313255,19.4462348
"35010, FTHIOTIDA, ΔΟΜΟΚΟΣ",GREECE,39.1133748,22.3313664
"15234, ATTIKI, ΧΑΛΑΝΔΡΙ",GREECE,38.0223662,23.807663
"54635, THESSALONIKI, ΘΕΣΣΑΛΟΝΙΚΗ",GREECE,40.6343175,22.9515415
"85300, DODECANESE GREECE, ΚΩΣ",GREECE,36.8867633,27.2558534
"38222, VOLOS, ΒΟΛΟΣ",GREECE,39.3570846,22.9622456
"84007, CYCLADES, ΑΝΤΙΠΑΡΟΣ",GREECE,36.8934179,25.1431797
"14574, ATTIKI, ΡΟΔΟΠΟΛΗ",GREECE,38.1170117,23.8750309
"24200, KALAMATA, ΜΕΣΣΗΝΗ",GREECE,37.0532542,22.0319649
"64002, KAVALA GREECE, ΛΙΜΕΝΑΡΙΑ",GREECE,40.6336746,24.602245
"19500, ATTIKI, ΛΑΥΡΙΟ",GREECE,37.7140435,24.0551441
"24001, KALAMATA, ΠΥΛΟΣ",GREECE,37.0532542,22.0319649
"64007, KAVALA GREECE, ΝΕΑ ΠΕΡΑΜΟΣ",GREECE,40.8405095,24.283137
"34200, EVOIA, ΙΣΤΙΑΙΑ",GREECE,38.9666134,23.2189564
"17563, ATTIKI, ΠΑΛΑΙΟ ΦΑΛΗΡΟ",GREECE,37.9269692,23.7090064
"19009, ATTIKI, ΡΑΦΗΝΑ",GREECE,38.0203695,24.0073367
"17123, ATTIKI, ΝΕΑ ΣΜΥΡΝΗ",GREECE,37.9390184,23.7153552
"15125, ATTIKI, ΜΑΡΟΥΣΙ",GREECE,38.0397189,23.8102372
"19001, ATTIKI, ΚΕΡΑΤΕΑ",GREECE,37.8027088,24.0036237
"45332, IOANNINA, ΙΩΑΝΝΙΝΑ",GREECE,39.6591664,20.8498525
"41222, LARISSA, ΛΑΡΙΣΑ",GREECE,39.6369916,22.4114781
"18450, PIRAEUS, ΝΙΚΑΙΑ",GREECE,37.9673403,23.6482438
"38334, VOLOS, ΒΟΛΟΣ",GREECE,39.3498204,22.9196598
"82200, CHIOS, ΒΡΟΝΤΑΔΟΣ",GREECE,38.418784,26.1341133
"83100, SAMOS GREECE, ΣΑΜΟΣ",GREECE,37.7693979,26.8551203
"25100, ACHAIA, ΑΙΓΙΟ",GREECE,38.2322476,22.0576006
"28200, KEFALLINIA, ΛΗΞΟΥΡΙ",GREECE,38.2124404,20.4216051
